feature,gb_importance,xgb_importance,lgb_importance,avg_importance
Humidity_Percent_max_rstd,0.13213688681395586,0.03134696,191,63.721161282889945
Humidity_Percent_std_delta,0.0018609998216208069,0.0041597257,136,45.33534024185281
Flow_Rate_LPM_mean,0.0037074328689860507,0.015573581,106,35.339760337872775
Lubricant_Conc_ratio,0.03015618102757893,0.05924187,99,33.029799349861044
Lubricant_Conc_zscore,0.1399364527470892,0.04833447,90,30.062756973634396
dev_delta,4.127291778326066e-06,0.0026236272,83,27.66754258482897
Pressure_Bar_std_rstd,0.0007942442286297953,0.010362449,72,24.00371889777691
Tablet_Weight_delta2,2.3298771645641023e-05,0.0016134696,58,19.333878922777735
Hardness,0.00011405349440057856,0.04542342,56,18.681845823925954
comp_delta,0.0023724447759107246,0.010315417,50,16.67089595402933
Humidity_Percent_min_zscore,0.10103717672085948,0.04641713,48,16.04915143500519
Friability,0.010912777282771659,0.0053781415,47,15.672096972938784
Hardness_ratio,0.00029158472020954636,0.0013426389,46,15.333878074527199
Humidity_Percent_min_rstd,0.00048285457031744226,0.0033160145,45,15.001266289703254
Humidity_Percent_std_zscore,0.00013144624043414646,0.0053726407,43,14.33516802897241
Humidity_Percent_min_ratio,0.10378292529961274,0.052141055,41,13.718641326921452
Pressure_Bar_mean_zscore,0.08511693657042764,0.03784313,36,12.040986689033119
Lubricant_Conc,0.010036315563523962,0.033891812,36,12.014642709176806
Humidity_Percent_std_rstd,2.9396812469532152e-06,0.0,36,12.000000979893748
Humidity_Percent_min,0.0009724584926683478,0.005182342,33,11.00205160021027
total_energy_kwh_rmean,0.0002429123191400763,0.0026258861,32,10.667622932812392
total_energy_kwh_rstd,0.0002963851342998111,0.0011284671,31,10.333808284094467
Tablet_Weight_zscore,0.004833198408651773,0.0034771443,28,9.336103447565517
ix__Lubricant_Conc_del_x_Drying_Time_delta,5.462331454824144e-07,0.0056937444,26,8.668564763545175
Flow_Rate_LPM_mean_ratio,0.006979578365612208,0.017817926,25,8.341599168009138
Dissolution_Rate_zscore,0.023873914171690335,0.04697746,24,8.02361712485202
Humidity_Percent_std_delta2,1.1365004068671075e-05,0.014704449,23,7.671571938035451
Compression_Force_kN_std,0.010821811156399462,0.003810943,23,7.671544251420243
Flow_Rate_LPM_mean_rstd,0.0007402142025653121,0.0056195795,23,7.668786597887679
Humidity_Percent_std,0.0331659029701178,0.030463656,22,7.354543186460231
Humidity_Percent_max_ratio,0.0002615048524595397,0.007127934,22,7.335796479662652
Humidity_Percent_max_zscore,2.123434380501015e-06,0.0,22,7.333334041144794
Disintegration_Time_delta,0.010957735337908836,0.002538619,20,6.67116545147841
batch_idx,0.00019251561193273016,0.0002925747,20,6.666828363435903
Pressure_Bar_std_zscore,1.3617495647807343e-07,0.0,20,6.666666712058319
Flow_Rate_LPM_std_ratio,1.011079137530642e-05,0.0009902186,19,6.333666776463567
ix__Friability_delta_x_Drying_Time_delta,1.7261441030373645e-05,0.00026079032,19,6.333426017252084
Compression_Force_kN_std_ratio,0.005478534726515465,0.00921327,18,6.004897268138234
Compression_Force_kN_std_zscore,0.0024964442687707,0.0019795026,18,6.001491982295074
Friability_delta,0.0003096347230967474,0.00062515156,18,6.000311595427291
Machine_Speed_cummu,4.5088406960412117e-07,0.0,18,6.00000015029469
Compression_Force_kN_mean,0.018136219893659922,0.04051129,17,5.686215837122588
Compression_Force_kN_mean_delta,0.0005320494540253614,0.0008747804,17,5.66713560995451
total_energy_kwh_delta2,0.00044327686148439043,0.0020544243,16,5.3341659003731445
Pressure_Bar_mean_rstd,1.0405897134872446e-07,0.0021505635,16,5.334050222527382
Humidity_Percent_max_delta,2.7804533318496305e-06,0.0016788972,16,5.333893892545884
Content_Uniformity,0.00021851994833634874,0.0,16,5.333406173316113
Content_Uniformity_delta2,6.86537111633309e-05,0.0,16,5.333356217903721
Compression_Force_kN_max_ratio,2.965347685032514e-05,0.0,16,5.333343217825617
Humidity_Percent_max_delta2,0.0001665032327902984,0.0050601447,15,5.001742215977633
Flow_Rate_LPM_std_rstd,2.464388595836001e-06,0.002395648,15,5.000799370810733
ix__Pressure_Bar_mean__x_Humidity_Percent_m,0.002388705262214847,0.0019030548,14,4.668097253344099
Friability_ratio,0.00028929557042893294,0.0,14,4.666763098523476
total_energy_kwh_delta,0.0003606588676286459,0.0016236329,13,4.3339947639065395
Drying_Time,2.034498397758593e-05,0.00062106724,13,4.3335471374092025
Humidity_Percent_std_ratio,3.272899561949083e-05,0.0,13,4.33334424299854
Compression_Force_kN_mean_zscore,0.008420641227658107,0.00068505097,12,4.003035230731602
Drying_Temp,1.6037527683865935e-05,0.0006942895,12,4.00023677568005
Lubricant_Conc_cummu,8.5103894379379e-06,0.0,12,4.0000028367964795
Drying_Temp_ratio,2.6755905603386725e-07,0.0,12,4.000000089186352
Pressure_Bar_std_delta,4.195548970783688e-07,0.0018265934,11,3.667275670991478
Humidity_Percent_max_cummu,1.6221753436800575e-05,0.00100724,11,3.667007820595405
Disintegration_Time_delta2,0.0002549182634134537,0.0,11,3.666751639421138
dev_rstd,1.9788450404220883e-06,0.00021373162,11,3.666738570154585
Drying_Time_delta2,6.59690543116652e-07,0.0,11,3.666666886563515
n_oor_rmean,0.0005435005894489629,0.038187493,10,3.346243664409425
Compression_Force_kN_mean_ratio,0.0033801683469424147,0.0002196237,10,3.3345332640168945
Flow_Rate_LPM_std_delta2,8.376944304459421e-06,0.001960335,10,3.333989570670282
Compression_Force_kN_mean_rstd,0.0005252391672740821,0.00097118865,10,3.3338321426065343
Friability_rmean,2.8865820870104934e-06,0.0,10,3.333334295527362
Binder_Amount_zscore,8.770989179418944e-07,0.0,10,3.3333336256996393
Moisture_Content,6.404488173584252e-07,0.0,10,3.3333335468162724
Hardness_zscore,0.16728749325162015,0.054667845,9,3.0739851128733355
Pressure_Bar_std_rmean,0.0006585243677416721,0.015158344,9,3.005272289475975
Flow_Rate_LPM_std,1.7717568606200203e-05,0.0028006646,9,3.0009394607334188
Humidity_Percent_min_rmean,3.5978624948485634e-05,0.0011996255,9,3.000411868057952
Flow_Rate_LPM_std_zscore,4.459458618309751e-05,0.0010369194,9,3.000360504668923
Machine_Speed_delta,0.00011856750497555767,0.0006531057,9,3.0002572243921644
Drying_Time_zscore,0.00027565290975644334,0.0,9,3.0000918843032522
Compression_Force_kN_mean_cummu,0.00013602664598008057,0.0,9,3.000045342215327
ix__Pressure_Bar_mean__x_Lubricant_Conc_del,0.0007971301225499386,0.0047567775,8,2.668517969223283
Moisture_Content_ratio,0.00010845390254147645,0.0045303926,8,2.668212948829909
Pressure_Bar_std_ratio,6.888726033813816e-06,0.001440663,8,2.667149183911041
ix__Humidity_Percent_m_x_Machine_Speed_delt,5.611729041716215e-05,0.0004693868,8,2.6668418347002842
Drying_Temp_delta,1.9799873337875608e-05,0.0,8,2.666673266624446
comp_rmean,1.0125002940961696e-06,0.0,8,2.6666670041667646
Flow_Rate_LPM_mean_zscore,0.001843287252730791,0.0075878804,7,2.336477055871519
Dissolution_Rate_delta,7.039032384815447e-05,0.0057137944,7,2.335261394901425
Dissolution_Rate_rstd,0.0020858944079521946,0.0,7,2.3340286314693173
Hardness_delta2,6.211193357524635e-06,0.0019025246,7,2.333969578602688
Lubricant_Conc_delta,8.330215899428254e-06,0.0007897819,7,2.333599370710618
total_energy_kwh_cummu,5.797490471169972e-07,0.0,7,2.3333335265830155
Disintegration_Time_cummu,3.9489317901610506e-07,0.0,7,2.333333464964393
Tablet_Weight_delta,1.9917769771055325e-07,0.0,7,2.333333399725899
Compression_Force_delta2,1.2394122403659972e-09,0.0,7,2.3333333337464706
Pressure_Bar_mean,4.247353368422447e-06,0.018890165,6,2.0062981373819686
Humidity_Percent_max_rmean,0.0018625576312992157,0.0026737293,6,2.001512095651383
Compression_Force_kN_mean_rmean,0.0010515574846792339,0.0012030115,6,2.0007515229910737
